saving to ./results/resnet_cifar100_binary_lr_0.0001
creating model resnet_binary
created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
number of parameters: 4367100
Files already downloaded and verified
Files already downloaded and verified
training regime: {0: {'optimizer': 'Adam', 'lr': 0.0001}}
/content/BinaryNet.pytorch/models/resnet_binary.py:148: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  x = self.logsoftmax(x)
TRAINING - Epoch: [0][0/196]	Time 4.014 (4.014)	Data 0.638 (0.638)	Loss 5.1435 (5.1435)	Prec@1 1.562 (1.562)	Prec@5 5.078 (5.078)
TRAINING - Epoch: [1][10/196]	Time 0.475 (0.521)	Data 0.000 (0.063)	Loss 4.2980 (4.2883)	Prec@1 5.469 (5.859)	Prec@5 20.312 (19.638)
TRAINING - Epoch: [1][20/196]	Time 0.473 (0.499)	Data 0.000 (0.033)	Loss 4.2925 (4.2632)	Prec@1 7.812 (6.157)	Prec@5 22.266 (20.257)
TRAINING - Epoch: [1][30/196]	Time 0.476 (0.491)	Data 0.000 (0.023)	Loss 4.2967 (4.2700)	Prec@1 5.859 (5.935)	Prec@5 18.750 (20.149)
TRAINING - Epoch: [1][40/196]	Time 0.475 (0.487)	Data 0.000 (0.017)	Loss 4.1733 (4.2577)	Prec@1 7.812 (6.050)	Prec@5 24.609 (20.798)
TRAINING - Epoch: [1][50/196]	Time 0.480 (0.485)	Data 0.000 (0.014)	Loss 4.1724 (4.2499)	Prec@1 8.984 (6.104)	Prec@5 24.219 (21.094)
TRAINING - Epoch: [1][60/196]	Time 0.476 (0.483)	Data 0.000 (0.012)	Loss 4.2720 (4.2436)	Prec@1 5.859 (6.103)	Prec@5 19.922 (21.299)
TRAINING - Epoch: [1][70/196]	Time 0.473 (0.482)	Data 0.000 (0.010)	Loss 4.3129 (4.2381)	Prec@1 4.688 (6.167)	Prec@5 21.484 (21.429)
TRAINING - Epoch: [1][80/196]	Time 0.474 (0.481)	Data 0.000 (0.009)	Loss 4.2544 (4.2321)	Prec@1 7.031 (6.226)	Prec@5 19.141 (21.542)
TRAINING - Epoch: [1][90/196]	Time 0.473 (0.481)	Data 0.000 (0.008)	Loss 4.1371 (4.2254)	Prec@1 7.422 (6.362)	Prec@5 27.344 (21.927)
TRAINING - Epoch: [1][100/196]	Time 0.469 (0.480)	Data 0.000 (0.007)	Loss 4.0956 (4.2186)	Prec@1 5.469 (6.389)	Prec@5 24.609 (22.057)
TRAINING - Epoch: [1][110/196]	Time 0.475 (0.480)	Data 0.000 (0.006)	Loss 4.1270 (4.2111)	Prec@1 8.594 (6.510)	Prec@5 25.000 (22.385)
TRAINING - Epoch: [1][120/196]	Time 0.475 (0.479)	Data 0.000 (0.006)	Loss 4.1477 (4.2076)	Prec@1 7.422 (6.553)	Prec@5 23.047 (22.540)
TRAINING - Epoch: [1][130/196]	Time 0.479 (0.479)	Data 0.000 (0.005)	Loss 4.1867 (4.2057)	Prec@1 6.250 (6.557)	Prec@5 20.703 (22.549)
TRAINING - Epoch: [1][140/196]	Time 0.489 (0.479)	Data 0.000 (0.005)	Loss 4.1048 (4.1991)	Prec@1 7.422 (6.635)	Prec@5 23.438 (22.773)
TRAINING - Epoch: [1][150/196]	Time 0.475 (0.479)	Data 0.000 (0.005)	Loss 4.2028 (4.1978)	Prec@1 7.812 (6.669)	Prec@5 19.922 (22.830)
TRAINING - Epoch: [1][160/196]	Time 0.475 (0.478)	Data 0.000 (0.005)	Loss 4.0375 (4.1949)	Prec@1 9.766 (6.711)	Prec@5 26.953 (22.923)
TRAINING - Epoch: [1][170/196]	Time 0.480 (0.478)	Data 0.000 (0.004)	Loss 4.0797 (4.1904)	Prec@1 10.547 (6.798)	Prec@5 30.469 (23.145)
TRAINING - Epoch: [1][180/196]	Time 0.475 (0.478)	Data 0.000 (0.004)	Loss 4.0347 (4.1858)	Prec@1 8.594 (6.859)	Prec@5 28.906 (23.310)
TRAINING - Epoch: [1][190/196]	Time 0.475 (0.478)	Data 0.000 (0.004)	Loss 4.1547 (4.1825)	Prec@1 5.078 (6.866)	Prec@5 26.172 (23.429)
./main_binary.py:246: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  input_var = Variable(inputs.type(args.type), volatile=not training)
EVALUATING - Epoch: [1][0/40]	Time 0.682 (0.682)	Data 0.501 (0.501)	Loss 4.1013 (4.1013)	Prec@1 7.422 (7.422)	Prec@5 28.125 (28.125)
EVALUATING - Epoch: [1][10/40]	Time 0.157 (0.216)	Data 0.000 (0.052)	Loss 4.0958 (4.1082)	Prec@1 7.812 (7.493)	Prec@5 26.953 (26.065)
EVALUATING - Epoch: [1][20/40]	Time 0.158 (0.189)	Data 0.000 (0.027)	Loss 4.0658 (4.0983)	Prec@1 8.984 (7.515)	Prec@5 26.953 (26.321)
EVALUATING - Epoch: [1][30/40]	Time 0.157 (0.179)	Data 0.000 (0.019)	Loss 4.1460 (4.1054)	Prec@1 7.031 (7.485)	Prec@5 23.047 (26.033)

 Epoch: 2	Training Loss 4.1817 	Training Prec@1 6.890 	Training Prec@5 23.442 	Validation Loss 4.1044 	Validation Prec@1 7.590 	Validation Prec@5 26.130 

TRAINING - Epoch: [2][0/196]	Time 1.264 (1.264)	Data 0.919 (0.919)	Loss 4.0358 (4.0358)	Prec@1 13.672 (13.672)	Prec@5 31.250 (31.250)
TRAINING - Epoch: [2][10/196]	Time 0.477 (0.534)	Data 0.000 (0.084)	Loss 4.0737 (4.1185)	Prec@1 7.422 (8.594)	Prec@5 27.344 (26.207)
TRAINING - Epoch: [2][20/196]	Time 0.474 (0.506)	Data 0.000 (0.044)	Loss 4.0356 (4.1023)	Prec@1 8.203 (8.203)	Prec@5 26.953 (25.781)
TRAINING - Epoch: [2][30/196]	Time 0.477 (0.496)	Data 0.000 (0.030)	Loss 4.2260 (4.1108)	Prec@1 7.031 (7.863)	Prec@5 24.219 (25.567)
TRAINING - Epoch: [2][40/196]	Time 0.483 (0.491)	Data 0.000 (0.023)	Loss 4.0377 (4.0993)	Prec@1 10.156 (7.908)	Prec@5 28.516 (25.848)
TRAINING - Epoch: [2][50/196]	Time 0.473 (0.488)	Data 0.000 (0.018)	Loss 4.2008 (4.0969)	Prec@1 8.984 (7.843)	Prec@5 25.391 (26.026)
TRAINING - Epoch: [2][60/196]	Time 0.478 (0.486)	Data 0.000 (0.015)	Loss 4.0645 (4.0975)	Prec@1 11.328 (8.094)	Prec@5 26.172 (26.121)
TRAINING - Epoch: [2][70/196]	Time 0.476 (0.484)	Data 0.000 (0.013)	Loss 4.0439 (4.0947)	Prec@1 9.766 (8.187)	Prec@5 28.906 (26.133)
TRAINING - Epoch: [2][80/196]	Time 0.474 (0.483)	Data 0.000 (0.012)	Loss 4.0978 (4.0902)	Prec@1 11.719 (8.343)	Prec@5 27.344 (26.278)
TRAINING - Epoch: [2][90/196]	Time 0.475 (0.482)	Data 0.000 (0.010)	Loss 4.0202 (4.0854)	Prec@1 10.547 (8.452)	Prec@5 30.859 (26.627)
TRAINING - Epoch: [2][100/196]	Time 0.470 (0.482)	Data 0.000 (0.009)	Loss 4.0687 (4.0791)	Prec@1 10.156 (8.520)	Prec@5 31.250 (26.880)
TRAINING - Epoch: [2][110/196]	Time 0.473 (0.481)	Data 0.000 (0.008)	Loss 4.0580 (4.0760)	Prec@1 8.203 (8.566)	Prec@5 26.562 (26.943)
TRAINING - Epoch: [2][120/196]	Time 0.474 (0.481)	Data 0.000 (0.008)	Loss 4.1550 (4.0734)	Prec@1 9.766 (8.671)	Prec@5 23.828 (27.085)
TRAINING - Epoch: [2][130/196]	Time 0.474 (0.480)	Data 0.000 (0.007)	Loss 3.9915 (4.0699)	Prec@1 8.984 (8.805)	Prec@5 30.469 (27.269)
TRAINING - Epoch: [2][140/196]	Time 0.474 (0.480)	Data 0.000 (0.007)	Loss 4.0222 (4.0694)	Prec@1 8.203 (8.804)	Prec@5 31.250 (27.288)
TRAINING - Epoch: [2][150/196]	Time 0.473 (0.480)	Data 0.000 (0.006)	Loss 4.0296 (4.0646)	Prec@1 8.594 (8.865)	Prec@5 29.688 (27.445)
TRAINING - Epoch: [2][160/196]	Time 0.474 (0.479)	Data 0.000 (0.006)	Loss 4.0519 (4.0647)	Prec@1 8.594 (8.902)	Prec@5 24.219 (27.434)
TRAINING - Epoch: [2][170/196]	Time 0.474 (0.479)	Data 0.000 (0.006)	Loss 3.9973 (4.0621)	Prec@1 12.109 (8.962)	Prec@5 29.688 (27.472)
TRAINING - Epoch: [2][180/196]	Time 0.482 (0.479)	Data 0.000 (0.005)	Loss 3.9682 (4.0586)	Prec@1 9.766 (9.075)	Prec@5 31.250 (27.611)
TRAINING - Epoch: [2][190/196]	Time 0.473 (0.479)	Data 0.000 (0.005)	Loss 4.0230 (4.0568)	Prec@1 6.641 (9.134)	Prec@5 26.953 (27.712)
EVALUATING - Epoch: [2][0/40]	Time 0.835 (0.835)	Data 0.644 (0.644)	Loss 3.9184 (3.9184)	Prec@1 14.453 (14.453)	Prec@5 35.938 (35.938)
EVALUATING - Epoch: [2][10/40]	Time 0.158 (0.230)	Data 0.000 (0.061)	Loss 3.9621 (3.9558)	Prec@1 12.109 (11.470)	Prec@5 31.250 (32.209)
EVALUATING - Epoch: [2][20/40]	Time 0.158 (0.196)	Data 0.000 (0.032)	Loss 3.9145 (3.9536)	Prec@1 9.766 (10.900)	Prec@5 29.297 (30.971)
EVALUATING - Epoch: [2][30/40]	Time 0.158 (0.183)	Data 0.000 (0.022)	Loss 4.0743 (3.9645)	Prec@1 9.766 (10.572)	Prec@5 30.469 (30.721)

 Epoch: 3	Training Loss 4.0542 	Training Prec@1 9.166 	Training Prec@5 27.792 	Validation Loss 3.9577 	Validation Prec@1 10.820 	Validation Prec@5 31.000 

TRAINING - Epoch: [3][0/196]	Time 0.977 (0.977)	Data 0.606 (0.606)	Loss 3.9803 (3.9803)	Prec@1 9.375 (9.375)	Prec@5 29.688 (29.688)
TRAINING - Epoch: [3][10/196]	Time 0.475 (0.510)	Data 0.000 (0.056)	Loss 3.9138 (3.9679)	Prec@1 14.062 (10.866)	Prec@5 33.203 (31.072)
TRAINING - Epoch: [3][20/196]	Time 0.482 (0.494)	Data 0.000 (0.030)	Loss 3.9607 (3.9723)	Prec@1 10.547 (10.547)	Prec@5 32.031 (30.748)
TRAINING - Epoch: [3][30/196]	Time 0.476 (0.488)	Data 0.000 (0.020)	Loss 3.8602 (3.9805)	Prec@1 11.328 (10.396)	Prec@5 35.156 (30.418)
TRAINING - Epoch: [3][40/196]	Time 0.471 (0.485)	Data 0.000 (0.015)	Loss 3.9149 (3.9810)	Prec@1 12.109 (10.452)	Prec@5 29.297 (30.450)
TRAINING - Epoch: [3][50/196]	Time 0.479 (0.483)	Data 0.000 (0.012)	Loss 4.0174 (3.9805)	Prec@1 10.547 (10.516)	Prec@5 28.906 (30.484)
TRAINING - Epoch: [3][60/196]	Time 0.476 (0.482)	Data 0.000 (0.010)	Loss 3.9476 (3.9838)	Prec@1 12.109 (10.444)	Prec@5 28.516 (30.469)
TRAINING - Epoch: [3][70/196]	Time 0.474 (0.481)	Data 0.000 (0.009)	Loss 3.9373 (3.9798)	Prec@1 8.203 (10.360)	Prec@5 33.203 (30.458)
TRAINING - Epoch: [3][80/196]	Time 0.476 (0.480)	Data 0.000 (0.008)	Loss 4.0058 (3.9734)	Prec@1 10.938 (10.552)	Prec@5 32.812 (30.758)
TRAINING - Epoch: [3][90/196]	Time 0.477 (0.480)	Data 0.000 (0.007)	Loss 3.9874 (3.9694)	Prec@1 9.766 (10.650)	Prec@5 28.516 (30.915)
TRAINING - Epoch: [3][100/196]	Time 0.475 (0.479)	Data 0.003 (0.006)	Loss 3.9157 (3.9693)	Prec@1 13.281 (10.698)	Prec@5 35.938 (30.917)
TRAINING - Epoch: [3][110/196]	Time 0.477 (0.479)	Data 0.000 (0.006)	Loss 3.8944 (3.9685)	Prec@1 12.109 (10.705)	Prec@5 31.641 (30.905)
TRAINING - Epoch: [3][120/196]	Time 0.476 (0.479)	Data 0.000 (0.005)	Loss 3.9770 (3.9653)	Prec@1 9.766 (10.789)	Prec@5 30.078 (30.976)
TRAINING - Epoch: [3][130/196]	Time 0.474 (0.478)	Data 0.000 (0.005)	Loss 3.9008 (3.9608)	Prec@1 11.328 (10.818)	Prec@5 33.594 (31.104)
TRAINING - Epoch: [3][140/196]	Time 0.475 (0.478)	Data 0.000 (0.005)	Loss 3.8426 (3.9579)	Prec@1 11.719 (10.868)	Prec@5 35.156 (31.228)
TRAINING - Epoch: [3][150/196]	Time 0.481 (0.478)	Data 0.000 (0.004)	Loss 3.8921 (3.9554)	Prec@1 10.547 (10.878)	Prec@5 35.156 (31.320)
TRAINING - Epoch: [3][160/196]	Time 0.472 (0.478)	Data 0.000 (0.004)	Loss 3.9366 (3.9529)	Prec@1 10.547 (10.938)	Prec@5 32.031 (31.379)
TRAINING - Epoch: [3][170/196]	Time 0.476 (0.478)	Data 0.000 (0.004)	Loss 3.9843 (3.9528)	Prec@1 8.203 (10.912)	Prec@5 29.297 (31.417)
TRAINING - Epoch: [3][180/196]	Time 0.476 (0.478)	Data 0.000 (0.004)	Loss 3.9208 (3.9527)	Prec@1 10.938 (10.933)	Prec@5 30.859 (31.416)
TRAINING - Epoch: [3][190/196]	Time 0.475 (0.478)	Data 0.000 (0.003)	Loss 3.7945 (3.9503)	Prec@1 14.062 (10.991)	Prec@5 34.375 (31.491)
EVALUATING - Epoch: [3][0/40]	Time 0.704 (0.704)	Data 0.519 (0.519)	Loss 3.8769 (3.8769)	Prec@1 15.234 (15.234)	Prec@5 33.203 (33.203)
EVALUATING - Epoch: [3][10/40]	Time 0.158 (0.220)	Data 0.000 (0.050)	Loss 3.9095 (3.8630)	Prec@1 10.938 (12.322)	Prec@5 31.641 (33.984)
EVALUATING - Epoch: [3][20/40]	Time 0.160 (0.191)	Data 0.000 (0.026)	Loss 3.8592 (3.8631)	Prec@1 13.281 (12.054)	Prec@5 33.203 (33.724)
EVALUATING - Epoch: [3][30/40]	Time 0.158 (0.180)	Data 0.000 (0.018)	Loss 3.9703 (3.8688)	Prec@1 10.547 (12.147)	Prec@5 34.766 (33.871)

 Epoch: 4	Training Loss 3.9501 	Training Prec@1 10.982 	Training Prec@5 31.508 	Validation Loss 3.8656 	Validation Prec@1 12.310 	Validation Prec@5 34.040 

TRAINING - Epoch: [4][0/196]	Time 1.140 (1.140)	Data 0.738 (0.738)	Loss 3.8940 (3.8940)	Prec@1 8.984 (8.984)	Prec@5 30.859 (30.859)
TRAINING - Epoch: [4][10/196]	Time 0.474 (0.522)	Data 0.000 (0.069)	Loss 3.9393 (3.8870)	Prec@1 12.891 (12.287)	Prec@5 32.422 (33.700)
TRAINING - Epoch: [4][20/196]	Time 0.475 (0.500)	Data 0.000 (0.036)	Loss 3.9596 (3.8974)	Prec@1 12.500 (12.054)	Prec@5 33.594 (33.129)
TRAINING - Epoch: [4][30/196]	Time 0.478 (0.492)	Data 0.000 (0.024)	Loss 3.9600 (3.9005)	Prec@1 11.328 (11.908)	Prec@5 30.469 (33.128)
TRAINING - Epoch: [4][40/196]	Time 0.475 (0.488)	Data 0.000 (0.019)	Loss 3.8767 (3.8936)	Prec@1 13.281 (12.090)	Prec@5 35.547 (33.518)
TRAINING - Epoch: [4][50/196]	Time 0.477 (0.485)	Data 0.000 (0.015)	Loss 3.8572 (3.8886)	Prec@1 9.375 (11.979)	Prec@5 32.422 (33.532)
TRAINING - Epoch: [4][60/196]	Time 0.483 (0.484)	Data 0.000 (0.013)	Loss 3.8728 (3.8836)	Prec@1 12.500 (12.039)	Prec@5 31.250 (33.575)
TRAINING - Epoch: [4][70/196]	Time 0.477 (0.482)	Data 0.000 (0.011)	Loss 3.9139 (3.8859)	Prec@1 12.891 (12.021)	Prec@5 30.859 (33.517)
TRAINING - Epoch: [4][80/196]	Time 0.475 (0.481)	Data 0.000 (0.010)	Loss 3.8564 (3.8863)	Prec@1 8.203 (11.902)	Prec@5 35.547 (33.406)
TRAINING - Epoch: [4][90/196]	Time 0.477 (0.481)	Data 0.000 (0.008)	Loss 3.9252 (3.8863)	Prec@1 11.719 (11.908)	Prec@5 32.422 (33.401)
TRAINING - Epoch: [4][100/196]	Time 0.472 (0.480)	Data 0.000 (0.008)	Loss 3.8902 (3.8815)	Prec@1 12.891 (11.989)	Prec@5 35.547 (33.567)
TRAINING - Epoch: [4][110/196]	Time 0.476 (0.480)	Data 0.000 (0.007)	Loss 3.6610 (3.8775)	Prec@1 15.625 (12.028)	Prec@5 42.578 (33.735)
TRAINING - Epoch: [4][120/196]	Time 0.477 (0.479)	Data 0.000 (0.006)	Loss 3.7974 (3.8736)	Prec@1 18.359 (12.116)	Prec@5 35.938 (33.839)
TRAINING - Epoch: [4][130/196]	Time 0.477 (0.479)	Data 0.000 (0.006)	Loss 3.7812 (3.8725)	Prec@1 18.359 (12.172)	Prec@5 40.625 (33.990)
TRAINING - Epoch: [4][140/196]	Time 0.481 (0.479)	Data 0.000 (0.006)	Loss 3.9532 (3.8723)	Prec@1 9.375 (12.170)	Prec@5 30.078 (33.962)
TRAINING - Epoch: [4][150/196]	Time 0.474 (0.479)	Data 0.000 (0.005)	Loss 3.7893 (3.8713)	Prec@1 14.453 (12.223)	Prec@5 35.938 (34.026)
TRAINING - Epoch: [4][160/196]	Time 0.477 (0.478)	Data 0.000 (0.005)	Loss 3.9556 (3.8719)	Prec@1 10.938 (12.240)	Prec@5 29.688 (33.902)
TRAINING - Epoch: [4][170/196]	Time 0.476 (0.478)	Data 0.000 (0.005)	Loss 3.7345 (3.8697)	Prec@1 17.578 (12.278)	Prec@5 37.891 (33.934)
TRAINING - Epoch: [4][180/196]	Time 0.486 (0.478)	Data 0.000 (0.004)	Loss 3.6390 (3.8675)	Prec@1 17.188 (12.362)	Prec@5 44.922 (34.056)
TRAINING - Epoch: [4][190/196]	Time 0.478 (0.478)	Data 0.000 (0.004)	Loss 3.8131 (3.8648)	Prec@1 13.672 (12.402)	Prec@5 35.547 (34.134)
EVALUATING - Epoch: [4][0/40]	Time 0.610 (0.610)	Data 0.428 (0.428)	Loss 3.7717 (3.7717)	Prec@1 12.891 (12.891)	Prec@5 33.984 (33.984)
EVALUATING - Epoch: [4][10/40]	Time 0.158 (0.225)	Data 0.000 (0.058)	Loss 3.8698 (3.7832)	Prec@1 13.281 (13.139)	Prec@5 34.375 (36.257)
EVALUATING - Epoch: [4][20/40]	Time 0.158 (0.193)	Data 0.000 (0.030)	Loss 3.8108 (3.7860)	Prec@1 15.234 (13.560)	Prec@5 37.891 (36.458)
EVALUATING - Epoch: [4][30/40]	Time 0.158 (0.182)	Data 0.000 (0.021)	Loss 3.9484 (3.7920)	Prec@1 10.156 (13.344)	Prec@5 33.203 (36.416)

 Epoch: 5	Training Loss 3.8643 	Training Prec@1 12.458 	Training Prec@5 34.192 	Validation Loss 3.7905 	Validation Prec@1 13.400 	Validation Prec@5 36.560 

TRAINING - Epoch: [5][0/196]	Time 1.018 (1.018)	Data 0.607 (0.607)	Loss 3.8618 (3.8618)	Prec@1 15.234 (15.234)	Prec@5 35.156 (35.156)
TRAINING - Epoch: [5][10/196]	Time 0.474 (0.511)	Data 0.000 (0.056)	Loss 3.8754 (3.8486)	Prec@1 13.281 (13.352)	Prec@5 33.594 (34.624)
TRAINING - Epoch: [5][20/196]	Time 0.473 (0.494)	Data 0.000 (0.029)	Loss 3.8607 (3.8263)	Prec@1 9.766 (13.635)	Prec@5 29.688 (34.821)
TRAINING - Epoch: [5][30/196]	Time 0.474 (0.488)	Data 0.000 (0.020)	Loss 3.8899 (3.8229)	Prec@1 9.766 (13.584)	Prec@5 33.594 (35.194)
TRAINING - Epoch: [5][40/196]	Time 0.476 (0.485)	Data 0.000 (0.015)	Loss 3.7490 (3.8186)	Prec@1 12.500 (13.634)	Prec@5 35.938 (35.156)
TRAINING - Epoch: [5][50/196]	Time 0.473 (0.483)	Data 0.000 (0.012)	Loss 3.8043 (3.8119)	Prec@1 15.234 (13.794)	Prec@5 36.719 (35.309)
TRAINING - Epoch: [5][60/196]	Time 0.474 (0.482)	Data 0.000 (0.010)	Loss 3.7256 (3.8166)	Prec@1 16.406 (13.742)	Prec@5 41.016 (35.483)
TRAINING - Epoch: [5][70/196]	Time 0.478 (0.481)	Data 0.000 (0.009)	Loss 3.5447 (3.8079)	Prec@1 17.969 (13.710)	Prec@5 46.094 (35.877)
TRAINING - Epoch: [5][80/196]	Time 0.471 (0.480)	Data 0.000 (0.008)	Loss 3.7208 (3.8055)	Prec@1 14.453 (13.764)	Prec@5 36.328 (35.793)
TRAINING - Epoch: [5][90/196]	Time 0.479 (0.480)	Data 0.000 (0.007)	Loss 3.8095 (3.8048)	Prec@1 15.234 (13.702)	Prec@5 35.938 (35.856)
TRAINING - Epoch: [5][100/196]	Time 0.476 (0.479)	Data 0.000 (0.006)	Loss 3.8248 (3.8014)	Prec@1 14.844 (13.757)	Prec@5 35.938 (36.065)
TRAINING - Epoch: [5][110/196]	Time 0.476 (0.479)	Data 0.000 (0.006)	Loss 3.9466 (3.7972)	Prec@1 13.281 (13.901)	Prec@5 30.469 (36.223)
TRAINING - Epoch: [5][120/196]	Time 0.483 (0.479)	Data 0.000 (0.005)	Loss 3.6596 (3.7957)	Prec@1 17.578 (13.940)	Prec@5 41.797 (36.296)
TRAINING - Epoch: [5][130/196]	Time 0.475 (0.478)	Data 0.000 (0.005)	Loss 3.8965 (3.7959)	Prec@1 11.328 (13.955)	Prec@5 31.250 (36.173)
TRAINING - Epoch: [5][140/196]	Time 0.472 (0.478)	Data 0.000 (0.005)	Loss 3.8869 (3.7949)	Prec@1 13.672 (13.932)	Prec@5 35.547 (36.203)
TRAINING - Epoch: [5][150/196]	Time 0.475 (0.478)	Data 0.000 (0.004)	Loss 3.8942 (3.7934)	Prec@1 13.672 (13.918)	Prec@5 33.984 (36.276)
TRAINING - Epoch: [5][160/196]	Time 0.474 (0.478)	Data 0.000 (0.004)	Loss 3.7308 (3.7925)	Prec@1 13.672 (13.941)	Prec@5 37.109 (36.338)
